Subject,Session,Trial,Time,Trial_Start,Trial_End,Dots_Shown,Dots_Counted,Score,Dot_Width,Dot_Height,dl_x,dl_y
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,2053,228
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,1925,61
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,2208,164
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,704,874
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,1071,561
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,1465,1198
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,2264,1043
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,1156,338
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,1214,1206
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,1394,813
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,936,709
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,1152,585
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,86,807
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,81,742
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,1341,422
a,a,0,0.1,1523385306.869972,1523385306.974078,16,14,0.875,10,10,1497,927
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,521,950
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,1073,83
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,1228,537
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,1689,849
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,754,117
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,2066,676
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,2126,898
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,1114,1133
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,2269,1158
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,849,364
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,157,116
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,175,555
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,757,486
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,1716,876
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,795,1048
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,2161,773
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,807,962
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,1038,1104
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,1078,1211
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,435,1178
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,718,376
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,2199,1009
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,823,238
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,1323,1235
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,1197,1254
a,a,1,0.1,1523385311.653795,1523385311.760001,61,29,0.47540983606557374,10,10,369,1188
