Subject,Session,Trial,Time1,Time2,Trial_Start,Trial_End,Dots_Shown1,Dots_Shown2,Dots_Counted,Score,Dot_Width,Dot_Height,which_array,dl_x,dl_y
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,1668,1111
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,640,635
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,2075,991
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,1795,512
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,1885,288
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,2248,221
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,205,1216
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,2187,1051
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,1497,1157
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,1633,736
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,571,728
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,313,358
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,1189,311
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,199,978
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,2277,1233
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,1183,594
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,1775,945
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,1814,721
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,1984,1043
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,1653,490
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,1998,962
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,222,837
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,559,442
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,555,287
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,746,334
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,1423,623
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,1757,456
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,1669,546
x,x,0,0.1,0.1,1523469362.38619,1523469363.255631,43,47,1,False,10,10,1,457,784
